Complexity metrics,So., 5 Apr. 2020 22:31:07 MESZ
Method,ev(G),iv(G),v(G)
"skipbo.client.ChatGraphic.ChatGraphic(SBClientListener)",1,1,1
"skipbo.client.ChatGraphic.ChatGraphic(SBClientListener,String)",1,1,1
"skipbo.client.ChatGraphic.keyPressed(KeyEvent)",1,1,1
"skipbo.client.ChatGraphic.keyReleased(KeyEvent)",1,1,1
"skipbo.client.ChatGraphic.keyTyped(KeyEvent)",1,3,3
"skipbo.client.ChatGraphic.printChatMessage(String)",1,1,1
"skipbo.client.ChatGraphic.printCommandList()",1,1,1
"skipbo.client.ChatGraphic.printErrorMessage(String)",1,1,1
"skipbo.client.ChatGraphic.printInfoMessage(String)",1,1,1
"skipbo.client.ChatGraphic.setFrame()",1,1,1
"skipbo.client.ChatGraphic.setGameGraphic()",1,1,1
"skipbo.client.ChatGraphic.setName()",1,1,2
"skipbo.client.GameGraphic.GameGraphic(ChatGraphic)",1,1,1
"skipbo.client.GameGraphic.keyPressed(KeyEvent)",1,1,1
"skipbo.client.GameGraphic.keyReleased(KeyEvent)",1,1,1
"skipbo.client.GameGraphic.keyTyped(KeyEvent)",1,1,1
"skipbo.client.GameGraphic.setGameGraphic()",1,1,1
"skipbo.client.NotACommandException.NotACommandException()",1,1,1
"skipbo.client.NotACommandException.NotACommandException(String)",1,1,1
"skipbo.client.SBClient.SBClient(String[])",1,1,1
"skipbo.client.SBClient.run()",1,2,3
"skipbo.client.SBClientListener.SBClientListener(Socket)",1,1,1
"skipbo.client.SBClientListener.forward(String)",4,3,12
"skipbo.client.SBClientListener.getBroadcastString(String)",2,1,2
"skipbo.client.SBClientListener.getChangeString(String)",5,5,6
"skipbo.client.SBClientListener.getListString(String)",3,2,4
"skipbo.client.SBClientListener.getNewString(String)",3,1,3
"skipbo.client.SBClientListener.getPlayString(String)",2,1,2
"skipbo.client.SBClientListener.getPrivateMessageString(String)",2,1,2
"skipbo.client.SBClientListener.logOut()",1,2,2
"skipbo.client.SBServerListener.SBServerListener(Socket,ChatGraphic)",1,1,1
"skipbo.client.SBServerListener.executeCommand(String)",2,2,9
"skipbo.client.SBServerListener.logOut()",1,2,2
"skipbo.client.SBServerListener.newGame()",1,1,1
"skipbo.client.SBServerListener.putTo(String[])",1,1,1
"skipbo.client.SBServerListener.run()",1,4,4
"skipbo.client.WindowHandler.WindowHandler(SBClientListener)",1,1,1
"skipbo.client.WindowHandler.windowActivated(WindowEvent)",1,1,1
"skipbo.client.WindowHandler.windowClosed(WindowEvent)",1,1,1
"skipbo.client.WindowHandler.windowClosing(WindowEvent)",1,2,2
"skipbo.client.WindowHandler.windowDeactivated(WindowEvent)",1,1,1
"skipbo.client.WindowHandler.windowDeiconified(WindowEvent)",1,1,1
"skipbo.client.WindowHandler.windowIconified(WindowEvent)",1,1,1
"skipbo.client.WindowHandler.windowOpened(WindowEvent)",1,1,1
"skipbo.dmi.dbis.cs108.example.gui.swing.SwingGUI.createAndShowGUI()",1,1,1
